System,System Name,Sub System,Sub System Name,Sub Sub System,Sub Sub Sytem Name
00,COMPLETE VEHICLE  SYSTEM,0034,POWERTRAIN SYSTEM,0034A,PEDALS AND CONTROLS SYSTEM
00,COMPLETE VEHICLE  SYSTEM,0035,PROPELLER SHAFT SYSTEM,0035A,PLUGS SYSTEM
00,COMPLETE VEHICLE  SYSTEM,0036,SAFETY AND RESTRAINTS SYSTEM,0036A,POWERTRAIN SYSTEM
00,COMPLETE VEHICLE  SYSTEM,0037,SEALS SYSTEM,0037A,PROPELLER SHAFT SYSTEM
00,COMPLETE VEHICLE  SYSTEM,0038,SEAT SYSTEM,0038A,SAFETY AND RESTRAINTS SYSTEM
00,COMPLETE VEHICLE  SYSTEM,0039,STEERING SYSTEM,0039A,SEALS SYSTEM
00,COMPLETE VEHICLE  SYSTEM,0040,SUSPENSION FRONT SYSTEM,0040A,SEAT SYSTEM
00,COMPLETE VEHICLE  SYSTEM,0041,SUSPENSION REAR SYSTEM,0041A,STEERING SYSTEM
00,COMPLETE VEHICLE  SYSTEM,0042,TOOLS AND JACK SYSTEM,0042A,SUSPENSION FRONT SYSTEM
00,COMPLETE VEHICLE  SYSTEM,0043,TRANSAXLE SYSTEM,0043A,SUSPENSION REAR SYSTEM
00,COMPLETE VEHICLE  SYSTEM,0044,TRASNMISSION SYSTEM,0044A,TOOLS AND JACK SYSTEM
00,COMPLETE VEHICLE  SYSTEM,0045,TRIM EXTERIOR SYSTEM,0045A,TRANSAXLE SYSTEM
00,COMPLETE VEHICLE  SYSTEM,0046,TRIM INTERIOR SYSTEM,0046A,TRASNMISSION SYSTEM
00,COMPLETE VEHICLE  SYSTEM,0047,TRIM IP AND CCB SYSTEM,0047A,TRIM EXTERIOR SYSTEM
00,COMPLETE VEHICLE  SYSTEM,0048,TRIM NVH SYSTEM,0048A,TRIM INTERIOR SYSTEM
00,COMPLETE VEHICLE  SYSTEM,0049,VACCUM SYSTEM,0049A,TRIM IP AND CCB SYSTEM
00,COMPLETE VEHICLE  SYSTEM,0050,WHEELS AND TYPE SYSTEM,0050A,TRIM NVH SYSTEM
01,BODY SYSTEM,0101,BODY STRUCTURE SUB SYSTEM,0101A,BODY SHELL ASSY
01,BODY SYSTEM,0101,BODY STRUCTURE SUB SYSTEM,0101B,UNDERBODY
01,BODY SYSTEM,0101,BODY STRUCTURE SUB SYSTEM,0101C,BODY DASH AND COWL
01,BODY SYSTEM,0101,BODY STRUCTURE SUB SYSTEM,0101D,ROOF
01,BODY SYSTEM,0101,BODY STRUCTURE SUB SYSTEM,0101E,BODY SIDE AND QUARTER
01,BODY SYSTEM,0101,BODY STRUCTURE SUB SYSTEM,0101F,PACKAGE TRAY
01,BODY SYSTEM,0101,BODY STRUCTURE SUB SYSTEM,0101G,BODY REAR END
